Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Allergenic properties	Biotechnological use	Involvement in disease	Disruption phenotype	Mutagenesis	Cross-reference (IntAct)	Cross-reference (STRING)	Cross-reference (PDB)
A8TYI5	A8TYI5_9PROT	unreviewed	Probable mandelate racemase	BAL199_22462	alpha proteobacterium BAL199	367							331869.BAL199_22462;	3UGV;
P71002	RAPF_BACSU	reviewed	Response regulator aspartate phosphatase F (EC 3.1.-.-)	rapF ywhJ BSU37460	Bacillus subtilis (strain 168)	381						P71002;	224308.BSU37460;	3ULQ;4I9C;4I9E;
B2SU53	PTHX1_XANOP	reviewed	TAL effector protein PthXo1 (Avirulence protein PthXo1) (TAL effector protein Tal2b)	pthXo1 tal2b PXO_00227	Xanthomonas oryzae pv. oryzae (strain PXO99A)	1373		BIOTECHNOLOGY: By combining the central DNA-binding domain with the catalytic domain of the restriction endonuclease FokI, TALE-nuclease (TALEN) enzymes able to target specific dsDNA sequences can be created that enable eukaryotic genome modification. Other potential uses as transcriptional repressors, for transposon targeting, DNA methylation or histone tail modifictions are also possible. {ECO:0000269|PubMed:20660643, ECO:0000303|PubMed:24602153, ECO:0000303|PubMed:25057889}.		DISRUPTION PHENOTYPE: Reduced virulence in susceptible rice; its introduction into a deletion mutant restores virulence to the bacteria in rice plants. No longer induces SWEET11 (Os8N3, XA13, AC Q6YZF3). {ECO:0000269|PubMed:15553245, ECO:0000269|PubMed:16798873}.			360094.PXO_00227;	3UGM;
B5T007	B5T007_LOLPR	unreviewed	Ice recrystallization inhibition protein-like protein	IRI3	Lolium perenne (Perennial ryegrass)	254								3ULT;
A7LZ30	A7LZ30_BACO1	unreviewed	Tetratricopeptide repeat protein	BACOVA_03105	Bacteroides ovatus (strain ATCC 8483 / DSM 1896 / JCM 5824 / BCRC 10623 / CCUG 4943 / NCTC 11153)	227							411476.BACOVA_03105;	3URZ;
A3DJ21	A3DJ21_ACET2	unreviewed	DUF5071 domain-containing protein	Cthe_2751	Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Hungateiclostridium thermocellum)	134							203119.Cthe_2751;	3UT4;3UT7;3UT8;
A1JJ76	A1JJ76_YERE8	unreviewed	Putative pectinesterase	YE0549	Yersinia enterocolitica serotype O:8 / biotype 1B (strain NCTC 13174 / 8081)	361							393305.YE0549;	3UW0;
O14593	RFXK_HUMAN	reviewed	DNA-binding protein RFXANK (Ankyrin repeat family A protein 1) (Regulatory factor X subunit B) (RFX-B) (Regulatory factor X-associated ankyrin-containing protein)	RFXANK ANKRA1 RFXB	Homo sapiens (Human)	260			DISEASE: Bare lymphocyte syndrome 2 (BLS2) [MIM:209920]: A severe combined immunodeficiency disease with early onset. It is characterized by a profound defect in constitutive and interferon-gamma induced MHC II expression, absence of cellular and humoral T-cell response to antigen challenge, hypogammaglobulinemia and impaired antibody production. The consequence include extreme susceptibility to viral, bacterial and fungal infections. {ECO:0000269|PubMed:10072068, ECO:0000269|PubMed:10725724, ECO:0000269|PubMed:22649097, ECO:0000269|PubMed:9806546}. Note=The disease is caused by variants affecting the gene represented in this entry.		"MUTAGEN 121;  /note=""D->V: Loss of expression."";  /evidence=""ECO:0000269|PubMed:22649097""; MUTAGEN 224;  /note=""Y->A: Loss of interaction with RFX5."";  /evidence=""ECO:0000269|PubMed:22649097"""	O14593;	9606.ENSP00000305071;	3UXG;3V30;6MEW;
O44169	PUF7_CAEEL	reviewed	Pumilio domain-containing protein 7	puf-7 B0273.2	Caenorhabditis elegans	485				DISRUPTION PHENOTYPE: Simultaneous knockdown of puf-6 and puf-7 results in ectopic primordial germ cells (PGCs) outside the somatic gonads, premature PGC proliferation in L1 larvae and germ cell death. Does not affect germline development in adult hermaphrodites. Disruption with puf-5 and puf-6 results in abnormally small oocytes, disorganization of oocyte nuclei and cells, inefficient yolk uptake by oocytes, embryonic arrest with impaired eggshell formation and cytokinesis defects, impaired repression of glp-1 in late oogenesis, and mislocalization of rme-2 to the cytoplasm instead of the plasma membrane. {ECO:0000269|PubMed:10518502, ECO:0000269|PubMed:17234175, ECO:0000269|PubMed:22542599}.	"MUTAGEN 441;  /note=""S->A: Reduced RNA-binding activity."";  /evidence=""ECO:0000269|PubMed:22205700"""		6239.B0273.2.2;	3V71;
Q6PFX9	TNKS1_MOUSE	reviewed	Poly [ADP-ribose] polymerase tankyrase-1 (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 5) (ARTD5) (Protein poly-ADP-ribosyltransferase tankyrase-1) (EC 2.4.2.-) (TRF1-interacting ankyrin-related ADP-ribose polymerase 1) (Tankyrase I) (Tankyrase-1) (TANK1)	Tnks Tnks1	Mus musculus (Mouse)	1320						Q6PFX9;	10090.ENSMUSP00000033929;	3UTM;4N4T;5HKP;6CF6;
Q86UT6	NLRX1_HUMAN	reviewed	NLR family member X1 (Caterpiller protein 11.3) (CLR11.3) (Nucleotide-binding oligomerization domain protein 26) (Nucleotide-binding oligomerization domain protein 5) (Nucleotide-binding oligomerization domain protein 9)	NLRX1 NOD26 NOD5 NOD9	Homo sapiens (Human)	975						Q86UT6;	9606.ENSP00000387334;	3UN9;
D7U7T8	D7U7T8_VITVI	unreviewed	4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)	VIT_15s0048g00750	Vitis vinifera (Grape)	365							29760.VIT_15s0048g00750.t01;	3TUU;4HNN;
Q9K0V0	TBPB_NEIMB	reviewed	Transferrin-binding protein B (TbpB) (Surface lipoprotein TbpB) (Transferrin-binding protein 2) (TBP-2)	tbpB tbp2 NMB0460	Neisseria meningitidis serogroup B (strain MC58)	712					"MUTAGEN 218;  /note=""Q->E: Decreased binding to human transferrin (TF)."";  /evidence=""ECO:0000269|PubMed:22327295""; MUTAGEN 220;  /note=""F->E: Decreased binding to TF."";  /evidence=""ECO:0000269|PubMed:22327295""; MUTAGEN 225;  /note=""Q->A: Significantly decreased binding to TF."";  /evidence=""ECO:0000269|PubMed:22327295""; MUTAGEN 225;  /note=""Q->E: No longer binds TF."";  /evidence=""ECO:0000269|PubMed:22327295""; MUTAGEN 226;  /note=""P->A: Wild-type binding to TF."";  /evidence=""ECO:0000269|PubMed:22327295""; MUTAGEN 226;  /note=""P->E,R,W: No longer binds TF."";  /evidence=""ECO:0000269|PubMed:22327295"""	Q9K0V0;		3V8U;
D2YW47	D2YW47_OLEAN	unreviewed	2-dehydro-3-deoxy-phosphogluconate aldolase (EC 4.1.2.14)		Oleispira antarctica	217								3VCR;
B5F9P4	MURA_ALIFM	reviewed	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	murA VFMJ11_0391	Aliivibrio fischeri (strain MJ11) (Vibrio fischeri)	422								3VCY;
A5VGW5	A5VGW5_SPHWW	unreviewed	Glyoxalase/bleomycin resistance protein/dioxygenase	Swit_4902	Sphingomonas wittichii (strain RW1 / DSM 6014 / JCM 10273)	294								3VB0;
A4YI54	A4YI54_METS5	unreviewed	Orotidine-5'-phosphate decarboxylase (EC 4.1.1.23)	Msed_1966	Metallosphaera sedula (strain ATCC 51363 / DSM 5348 / JCM 9185 / NBRC 15509 / TH2)	215							399549.Msed_1966;	3VE7;3VE9;
Q09057	TBPB1_NEIMI	reviewed	Transferrin-binding protein B (TbpB) (TbpB receptor) (Transferrin-binding protein 2) (TBP-2)	tbpB tbp2	Neisseria meningitidis serogroup B	711					"MUTAGEN 219;  /note=""R->A: Wild-type binding to human transferrin."";  /evidence=""ECO:0000269|PubMed:22343719""; MUTAGEN 241;  /note=""E->R: Dramatically reduced binding to human transferrin."";  /evidence=""ECO:0000269|PubMed:22343719"""	Q09057;		3VE1;3VE2;5KKX;
Q8A3A5	Q8A3A5_BACTN	unreviewed	Two-component system sensor histidine kinase/response regulator, hybrid (One-component system)	BT_3049	Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50)	1376							226186.BT_3049;	3V9F;
P76116	YNCE_ECOLI	reviewed	Uncharacterized protein YncE	yncE b1452 JW1447	Escherichia coli (strain K12)	353						P76116;	511145.b1452;	3VGZ;3VH0;
A0A011	A0A011_STRVD	unreviewed	MoeO5	moeO5	Streptomyces viridosporus	281								3VK5;3VKA;3VKB;3VKC;3VKD;
D0VP31	D0VP31_9BACI	unreviewed	Pectate lyase (Fragment)	pelA	Bacillus sp. N16-5	362								3VMV;3VMW;
P38348	HSM3_YEAST	reviewed	DNA mismatch repair protein HSM3 (Enhanced spontaneous mutability protein 3)	HSM3 YBR272C YBR1740	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	480						P38348;	4932.YBR272C;	3VLD;3VLE;3VLF;4A3T;4A3V;4FP7;4JPO;
P08648	ITA5_HUMAN	reviewed	Integrin alpha-5 (CD49 antigen-like family member E) (Fibronectin receptor subunit alpha) (Integrin alpha-F) (VLA-5) (CD antigen CD49e) [Cleaved into: Integrin alpha-5 heavy chain; Integrin alpha-5 light chain]	ITGA5 FNRA	Homo sapiens (Human)	1049						P08648;	9606.ENSP00000293379;	3VI3;3VI4;4WJK;4WK0;4WK2;4WK4;7NWL;
Q5KW03	Q5KW03_GEOKA	unreviewed	Hypothetical conserved protein	GK2848	Geobacillus kaustophilus (strain HTA426)	182							235909.GK2848;	3VNP;
Q76CE6	IBPKB_TYPIS	reviewed	Ice-binding protein K3-B1 (Antifreeze protein 6) (AFP6) (TAFP-2) (TisAFP6)	K3-B1	Typhula ishikariensis (Gray snow mold fungus)	243					"MUTAGEN 102;  /note=""T->Y: Has 85% thermal hysteresis (TH) activity of that of the wild-type."";  /evidence=""ECO:0000269|PubMed:22645341""; MUTAGEN 198;  /note=""N->Y: Has 40% thermal hysteresis (TH) activity of that of the wild-type."";  /evidence=""ECO:0000269|PubMed:22645341""; MUTAGEN 232;  /note=""S->A: Slight increase in thermal hysteresis (TH) activity (0.48 degrees Celsius) compared with that of the wild-type (0.32 degrees Celsius) at 0.14 mM."";  /evidence=""ECO:0000269|PubMed:27613857""; MUTAGEN 241;  /note=""V->Y: Has 85% thermal hysteresis (TH) activity of that of the wild-type."";  /evidence=""ECO:0000269|PubMed:22645341"""			3VN3;
H1AFK5	H1AFK5_SHEFR	unreviewed	Tryptophan synthase alpha chain (EC 4.2.1.20)	trpA	Shewanella frigidimarina	267								3VND;
Q9T1V4	BP45_BPMU	reviewed	Baseplate puncturing device gp45 (Baseplate spike protein) (Gene product 45) (gp45) (Gene product Q) (gpQ)	Mup45	Escherichia phage Mu (Bacteriophage Mu)	197				DISRUPTION PHENOTYPE: No tail is synthesized. {ECO:0000269|PubMed:3904174}.	"MUTAGEN 188;  /note=""D->A: Loss of membrane-binding ability."";  /evidence=""ECO:0000269|PubMed:22922659"""			3VTN;3VTO;
K7N5L8	K7N5L8_9BACT	unreviewed	MamA	MamA	Candidatus Magnetobacterium bavaricum	184								3VTX;3VTY;
J3QW34	J3QW34_KLUMA	unreviewed	KmHsv2		Kluyveromyces marxianus (Yeast) (Candida kefyr)	355								3VU4;
Q12453	CEX1_YEAST	reviewed	Cytoplasmic export protein 1	CEX1 YOR112W O3240 YOR3240w	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	761						Q12453;	4932.YOR112W;	3VWA;
A7X435	PCRB_STAA1	reviewed	Heptaprenylglyceryl phosphate synthase (HepGP synthase) (EC 2.5.1.n9) (Glycerol-1-phosphate heptaprenyltransferase)	pcrB SAHV_1891	Staphylococcus aureus (strain Mu3 / ATCC 700698)	230								3W01;3W02;
P39108	PEX7_YEAST	reviewed	Peroxisomal targeting signal 2 receptor (PTS2 receptor) (Peroxin-7) (Peroxisome import protein PAS7)	PEX7 PAS7 PEB1 YDR142C YD2943.01C YD9302.18C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	375						P39108;	4932.YDR142C;	3W15;
A3DD67	A3DD67_ACET2	unreviewed	Ricin B lectin	Cthe_0661	Acetivibrio thermocellus (strain ATCC 27405 / DSM 1237 / JCM 9322 / NBRC 103400 / NCIMB 10682 / NRRL B-4536 / VPI 7372) (Hungateiclostridium thermocellum)	571							203119.Cthe_0661;	3VSF;3VSZ;3VT0;3VT1;3VT2;
P32337	IMB3_YEAST	reviewed	Importin subunit beta-3 (Karyopherin subunit beta-3) (Karyopherin-121) (Protein secretion enhancer 1)	PSE1 KAP121 YMR308C YM9952.10C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1089						P32337;	4932.YMR308C;	3W3T;3W3U;3W3V;3W3W;3W3X;3W3Y;3W3Z;4ZJ7;5H2V;
Q9Y4B6	DCAF1_HUMAN	reviewed	DDB1- and CUL4-associated factor 1 (HIV-1 Vpr-binding protein) (VprBP) (Serine/threonine-protein kinase VPRBP) (EC 2.7.11.1) (Vpr-interacting protein)	DCAF1 KIAA0800 RIP VPRBP	Homo sapiens (Human)	1507					"MUTAGEN 194;  /note=""K->R: Abolishes serine/threonine-protein kinase kinase activity."";  /evidence=""ECO:0000269|PubMed:24140421""; MUTAGEN 361;  /note=""D->A: Abolishes serine/threonine-protein kinase kinase activity."";  /evidence=""ECO:0000269|PubMed:24140421""; MUTAGEN 363;  /note=""K->A: Abolishes serine/threonine-protein kinase kinase activity."";  /evidence=""ECO:0000269|PubMed:24140421"""	Q9Y4B6;	9606.ENSP00000393183;	3WA0;4CC9;4P7I;4PXW;4Z8L;5AJA;5JK7;6N45;
P43629	KI3L1_HUMAN	reviewed	Killer cell immunoglobulin-like receptor 3DL1 (CD158 antigen-like family member E) (HLA-BW4-specific inhibitory NK cell receptor) (MHC class I NK cell receptor) (Natural killer-associated transcript 3) (NKAT-3) (p70 natural killer cell receptor clones CL-2/CL-11) (p70 NK receptor CL-2/CL-11) (CD antigen CD158e)	KIR3DL1 CD158E NKAT3 NKB1	Homo sapiens (Human)	444						P43629;	9606.ENSP00000375608;	3VH8;3WUW;5B38;5B39;5T6Z;5T70;6V3J;7K80;
P30690	OMPB1_NEIMB	reviewed	Major outer membrane protein P.IB (PIB) (Protein IB) (Class 3 protein) (Porin)	porB NMB2039	Neisseria meningitidis serogroup B (strain MC58)	331								3WI4;3WI5;
O74965	EIF2A_SCHPO	reviewed	Eukaryotic translation initiation factor 2A (eIF-2A)	SPBC4B4.04	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)	576							4896.SPBC4B4.04.1;	3WJ9;
A2ICH1	A2ICH1_THESW	unreviewed	Parallel beta-helix repeat protein (Xylosidase)	Tsac_0939	Thermoanaerobacterium saccharolyticum (strain DSM 8691 / JW/SL-YS485)	638							1094508.Tsac_0939;	3VST;3VSU;3VSV;
E0D2V6	E0D2V6_LETCA	unreviewed	Variable lymphocyte receptor C	VLRC	Lethenteron camtschaticum (Japanese lamprey) (Lampetra japonica)	320								3WO9;
A0A0A8IK66	A0A0A8IK66_PIG	unreviewed	Heparin-binding protein WGA16	wga16 LOC110259943	Sus scrofa (Pig)	166								3WOB;3WOC;
O75122	CLAP2_HUMAN	reviewed	CLIP-associating protein 2 (Cytoplasmic linker-associated protein 2) (Protein Orbit homolog 2) (hOrbit2)	CLASP2 KIAA0627	Homo sapiens (Human)	1294					"MUTAGEN 106;  /note=""W->E: Decreases affinity for microtubules; when associated with A-191; E-667; E-833; A-838 and A-839."";  /evidence=""ECO:0000269|PubMed:26003921""; MUTAGEN 191;  /note=""K->A: Decreases affinity for microtubules; when associated with E-106; E-667; E-833; A-838 and A-839."";  /evidence=""ECO:0000269|PubMed:26003921""; MUTAGEN 496..497;  /note=""IP->AA: No effect on MAPRE1 binding. Abolishes interaction with MAPRE1; when associated with 519-A-A-520."";  /evidence=""ECO:0000269|PubMed:26003921""; MUTAGEN 496..497;  /note=""IP->SS: Reduced targeting to the growing microtubule plus ends. Loss of interaction with MAPRE1 and targeting to the growing microtubule plus ends; when associated with 519-S-S-520."";  /evidence=""ECO:0000269|PubMed:19632184""; MUTAGEN 499;  /note=""S->D: Phosphomimetic mutant that reduces MAPRE1 binding; when associated with D-503; D-507; D-525; D-529; D-533; D-537 and D-541."";  /evidence=""ECO:0000269|PubMed:26003921""; MUTAGEN 503;  /note=""S->D: Phosphomimetic mutant that reduces MAPRE1 binding; when associated with D-499; D-507; D-525; D-529; D-533; D-537 and D-541."";  /evidence=""ECO:0000269|PubMed:26003921""; MUTAGEN 507;  /note=""S->D: Phosphomimetic mutant that reduces MAPRE1 binding; when associated with D-499; D-503; D-525; D-529; D-533; D-537 and D-541."";  /evidence=""ECO:0000269|PubMed:26003921""; MUTAGEN 519..520;  /note=""IP->AA: No effect on MAPRE1 binding. Abolishes interaction with MAPRE1; when associated with 496-A-A-497."";  /evidence=""ECO:0000269|PubMed:26003921""; MUTAGEN 519..520;  /note=""IP->SS: Reduced targeting to the growing microtubule plus ends. Loss of interaction with MAPRE1 and targeting to the growing microtubule plus ends; when associated with 496-S-S-497."";  /evidence=""ECO:0000269|PubMed:19632184""; MUTAGEN 525;  /note=""S->D: Phosphomimetic mutant that reduces MAPRE1 binding; when associated with D-499; D-503; D-507; D-529; D-533; D-537 and D-541."";  /evidence=""ECO:0000269|PubMed:26003921""; MUTAGEN 529;  /note=""S->D: Phosphomimetic mutant that reduces MAPRE1 binding; when associated with D-499; D-503; D-507; D-525; D-533; D-537 and D-541."";  /evidence=""ECO:0000269|PubMed:26003921""; MUTAGEN 533;  /note=""S->D: Phosphomimetic mutant that reduces MAPRE1 binding; when associated with D-499; D-503; D-507; D-525; D-529; D-537 and D-541."";  /evidence=""ECO:0000269|PubMed:26003921""; MUTAGEN 537;  /note=""S->D: Phosphomimetic mutant that reduces MAPRE1 binding; when associated with D-499; D-503; D-507; D-525; D-529; D-533 and D-541."";  /evidence=""ECO:0000269|PubMed:26003921""; MUTAGEN 541;  /note=""S->D: Phosphomimetic mutant that reduces MAPRE1 binding; when associated with D-499; D-503; D-507; D-525; D-529; D-533 and D-537."";  /evidence=""ECO:0000269|PubMed:26003921""; MUTAGEN 667;  /note=""W->E: Decreases affinity for microtubules; when associated with E-106; A-191; E-833; A-838 and A-839."";  /evidence=""ECO:0000269|PubMed:26003921""; MUTAGEN 833;  /note=""K->E: Decreases affinity for microtubules; when associated with E-106; A-191; E-667; A-838 and A-839."";  /evidence=""ECO:0000269|PubMed:26003921""; MUTAGEN 838;  /note=""R->A: Decreases affinity for microtubules; when associated with E-106; A-191; E-667; E-833 and A-839."";  /evidence=""ECO:0000269|PubMed:26003921""; MUTAGEN 839;  /note=""K->A: Decreases affinity for microtubules; when associated with E-106; A-191; E-667; E-833 and A-838."";  /evidence=""ECO:0000269|PubMed:26003921"""	O75122;	9606.ENSP00000417518;	3WOY;5NR4;
Q8BRT1	CLAP2_MOUSE	reviewed	CLIP-associating protein 2 (Cytoplasmic linker-associated protein 2)	Clasp2 Kiaa0627	Mus musculus (Mouse)	1286					"MUTAGEN 6;  /note=""C->S: Impairs Golgi localization; when associated with S-10."";  /evidence=""ECO:0000269|PubMed:11290329""; MUTAGEN 10;  /note=""C->S: Impairs Golgi localization; when associated with S-6."";  /evidence=""ECO:0000269|PubMed:11290329"""	Q8BRT1;	10090.ENSMUSP00000128460;	3WOZ;
K7ZP88	ATAA_ACIS5	reviewed	Trimeric autotransporter adhesin AtaA (TAA AtaA) (Type 5 secretion system autotransporter AtaA)	ataA	Acinetobacter sp. (strain Tol 5)	3630		BIOTECHNOLOGY: Can be used to immobilize bacteria on a solid support; cells can be removed by washing in distilled water, and will reattach as the ionic strength of the medium increases above 10 mM. The attach-detach cycle can be repeated at least 4 times, each time the cells reattach as well as the first time (PubMed:23893702, PubMed:28720107). Expression in the indigo-producing Acinetobacter strain ST-550 leads to cell adherence to a support material and subsequently 5-fold increased levels of indigo production (PubMed:23893702). {ECO:0000269|PubMed:23893702, ECO:0000269|PubMed:28720107}.		DISRUPTION PHENOTYPE: Loss of rapid, irreversible adhesion to polyurethane, loss of both an anchor-like appendage and a peritrichate fibril-type appendage on the cell surface (PubMed:17090933, PubMed:23155410). Cells retain type 1 and Fil fimbriae (defined by FimA and FilA protein respectively) (PubMed:23155410). {ECO:0000269|PubMed:17090933, ECO:0000269|PubMed:23155410}.	"MUTAGEN 326..362;  /note=""Missing: Protein expressed on cell surface, autoagglutination and adherence to glass and polystyrene is normal."";  /evidence=""ECO:0000269|PubMed:27305955""; MUTAGEN 328..362;  /note=""Missing: Protein is expressed, but not present on the cell surface, loss of autoagglutination and adherence."";  /evidence=""ECO:0000269|PubMed:27305955""; MUTAGEN 335..362;  /note=""Missing: Protein expressed on cell surface, decreased autoagglutination, decreased adherence to glass and polystyrene, isolated fiber has slightly altered morphology."";  /evidence=""ECO:0000269|PubMed:27305955""; MUTAGEN 3061;  /note=""P->G: Protects recombinant proteins from degradation in vivo."";  /evidence=""ECO:0000269|PubMed:26698633""; MUTAGEN 3487;  /note=""G->GGGLEVLFLQGPG: Inserts a protease site, allows isolation of the intact, folded passenger domain. Protein behaves like wild-type."";  /evidence=""ECO:0000269|PubMed:27305955"""			3WP8;3WPA;3WPO;3WPP;3WPR;3WQA;
A5XB26	IBP_COLSX	reviewed	Ice-binding protein (Antifreeze protein) (AFP)		Colwellia sp.	253					"MUTAGEN 214;  /note=""T->Y: Has 20% thermal hysteresis (TH) activity of that of the wild-type. Has 2.6% thermal hysteresis (TH) activity of that of the wild-type; when associated with Y-233."";  /evidence=""ECO:0000269|PubMed:24938370""; MUTAGEN 217;  /note=""S->Y: No effect on thermal hysteresis (TH) activity."";  /evidence=""ECO:0000269|PubMed:24938370""; MUTAGEN 232;  /note=""T->K: Increased thermal hysteresis (TH) activity compared to wild-type."";  /evidence=""ECO:0000269|PubMed:24938370""; MUTAGEN 232;  /note=""T->Y: Has 50% thermal hysteresis (TH) activity of that of the wild-type."";  /evidence=""ECO:0000269|PubMed:24938370""; MUTAGEN 233;  /note=""A->Y: Significant decrease in thermal hysteresis (TH) activity compared to wild-type. Has 2.6% thermal hysteresis (TH) activity of that of the wild-type; when associated with Y-214."";  /evidence=""ECO:0000269|PubMed:24938370""; MUTAGEN 235;  /note=""T->Y: Has 17% thermal hysteresis (TH) activity of that of the wild-type."";  /evidence=""ECO:0000269|PubMed:24938370"""			3WP9;
